comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,copd,COPD,shututility,Utility shutoff threat,hrsn,2.1606,7.1891,6.9948,7.3832,332.74,6.995,19.7644,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,lacktrpt,Transportation barriers,hrsn,2.1606,-5.7228,-6.0227,-5.4094,-264.87,7.3207,17.3111,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,emotionspt,Lack of social support,hrsn,2.1606,-0.4364,-0.5004,-0.3786,-20.2,22.1557,31.8644,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,pct_poverty,pct_poverty,demographic,2.1606,0.3459,0.3084,0.3849,16.01,10.689,25.4076,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,pct_college,pct_college,demographic,2.1606,1.0274,1.0025,1.0515,47.55,36.3351,20.7713,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,pct_65plus,pct_65plus,demographic,2.1606,-0.1677,-0.1813,-0.1568,-7.76,19.0889,15.0582,38240,5436,147.85,ecological
Black_vs_White,copd,COPD,median_age,median_age,demographic,2.1606,-0.1532,-0.1675,-0.1395,-7.09,41.9359,37.1617,38240,5436,147.85,ecological
Black_vs_White,stroke,Stroke,loneliness,Loneliness/Social isolation,hrsn,2.067,-0.2175,-0.233,-0.202,-10.52,32.3089,39.5464,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,foodstamp,Food stamps/SNAP,hrsn,2.067,0.9522,0.8979,1.0048,46.06,10.5907,32.6523,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,foodinsecu,Food insecurity,hrsn,2.067,4.7818,4.631,4.9383,231.34,12.9185,34.3278,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,housinsecu,Housing insecurity,hrsn,2.067,-3.7043,-3.8376,-3.5656,-179.21,10.4715,26.6811,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,shututility,Utility shutoff threat,hrsn,2.067,1.9944,1.8965,2.088,96.49,6.995,19.7644,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,lacktrpt,Transportation barriers,hrsn,2.067,-2.4816,-2.6444,-2.3151,-120.06,7.3207,17.3111,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,emotionspt,Lack of social support,hrsn,2.067,0.0239,-0.0037,0.0517,1.16,22.1557,31.8644,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,pct_poverty,pct_poverty,demographic,2.067,0.029,0.0112,0.0473,1.4,10.689,25.4076,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,pct_college,pct_college,demographic,2.067,0.2655,0.2576,0.2727,12.84,36.3351,20.7713,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,pct_65plus,pct_65plus,demographic,2.067,-0.1657,-0.1748,-0.1569,-8.02,19.0889,15.0582,38240,5436,67.93,ecological
Black_vs_White,stroke,Stroke,median_age,median_age,demographic,2.067,-0.0735,-0.0805,-0.0668,-3.56,41.9359,37.1617,38240,5436,67.93,ecological
Hispanic_vs_White,diabetes,Diabetes,loneliness,Loneliness/Social isolation,hrsn,2.6208,0.2633,0.2142,0.3115,10.05,32.3089,39.5593,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,foodstamp,Food stamps/SNAP,hrsn,2.6208,2.3136,2.187,2.4373,88.28,10.5907,27.3053,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,foodinsecu,Food insecurity,hrsn,2.6208,16.0212,15.6657,16.3879,611.31,12.9185,31.9295,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,housinsecu,Housing insecurity,hrsn,2.6208,-7.9018,-8.2026,-7.5779,-301.51,10.4715,25.3416,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,shututility,Utility shutoff threat,hrsn,2.6208,3.4759,3.3634,3.59,132.63,6.995,13.3884,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,lacktrpt,Transportation barriers,hrsn,2.6208,-11.2321,-11.5923,-10.8886,-428.58,7.3207,15.2636,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,emotionspt,Lack of social support,hrsn,2.6208,-0.9719,-1.049,-0.8989,-37.09,22.1557,31.7518,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_poverty,pct_poverty,demographic,2.6208,0.0452,0.0167,0.0729,1.73,10.689,19.1501,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_college,pct_college,demographic,2.6208,1.0685,1.0453,1.0912,40.77,36.3351,16.2687,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_65plus,pct_65plus,demographic,2.6208,-0.56,-0.5856,-0.5337,-21.37,19.0889,11.2889,38240,5201,76.39,ecological
Hispanic_vs_White,diabetes,Diabetes,median_age,median_age,demographic,2.6208,-0.5197,-0.5498,-0.4915,-19.83,41.9359,33.7491,38240,5201,76.39,ecological
Hispanic_vs_White,depression,Depression,loneliness,Loneliness/Social isolation,hrsn,-3.2075,3.7186,3.6171,3.8253,-115.93,32.3089,39.5593,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,foodstamp,Food stamps/SNAP,hrsn,-3.2075,4.1983,4.0236,4.3858,-130.89,10.5907,27.3053,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,foodinsecu,Food insecurity,hrsn,-3.2075,-4.3184,-4.768,-3.8816,134.63,12.9185,31.9295,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,housinsecu,Housing insecurity,hrsn,-3.2075,-16.1661,-16.6409,-15.7152,504.01,10.4715,25.3416,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,shututility,Utility shutoff threat,hrsn,-3.2075,6.243,6.0516,6.4365,-194.64,6.995,13.3884,38240,5201,102.93,ecological
Hispanic_vs_White,depression,Depression,lacktrpt,Transportation barriers,hrsn,-3.2075,4.3741,3.9954,4.7882,-136.37,7.3207,15.2636,38240,5201,102.93,ecological
