stratum_var,stratum_label,stratum_value,stratum_name,hrsn_measure,hrsn_label,outcome,outcome_label,beta,se,pvalue,ci_lower,ci_upper,r_squared,n_obs
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,chd,Coronary heart disease,-0.2449,0.0223,3.691826231110438e-28,-0.2886,-0.2013,0.7468,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,copd,COPD,-0.1281,0.0174,1.6699756697931893e-13,-0.1622,-0.0941,0.7581,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,loneliness,Loneliness/Social isolation,stroke,Stroke,-0.2041,0.0204,1.516057592651804e-23,-0.2441,-0.1641,0.7849,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.5691,0.0475,3.8367202615134937e-33,0.4761,0.6621,0.8248,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,depression,Depression,0.2456,0.035,2.143475904447004e-12,0.1771,0.3142,0.4219,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,casthma,Asthma,0.7331,0.0571,1.114400228243372e-37,0.6211,0.845,0.6899,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,obesity,Obesity,0.4559,0.0305,1.4496877323556412e-50,0.3961,0.5156,0.7612,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,chd,Coronary heart disease,0.461,0.057,6.061424158857646e-16,0.3493,0.5727,0.7681,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,copd,COPD,0.5469,0.0687,1.7453680546298433e-15,0.4122,0.6816,0.8122,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodstamp,Food stamps/SNAP,stroke,Stroke,0.6292,0.0606,3.103482775250596e-25,0.5103,0.748,0.8344,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,diabetes,Diabetes,0.9166,0.0231,0.0,0.8714,0.9618,0.8553,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,depression,Depression,0.1048,0.0346,0.002451949631170958,0.037,0.1726,0.4041,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,casthma,Asthma,0.3224,0.0531,1.240485427005697e-09,0.2184,0.4264,0.5607,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,obesity,Obesity,0.5429,0.0246,1.3966119950882993e-107,0.4946,0.5911,0.7549,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,chd,Coronary heart disease,0.6541,0.022,3.2072598438993594e-194,0.611,0.6973,0.7782,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,copd,COPD,0.8575,0.0256,3.7763533273445504e-245,0.8073,0.9078,0.8435,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,foodinsecu,Food insecurity,stroke,Stroke,0.894,0.0256,1.0955068209060036e-266,0.8438,0.9443,0.8498,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,diabetes,Diabetes,0.8698,0.0335,9.127651411036415e-149,0.8042,0.9354,0.8309,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,depression,Depression,-0.118,0.0425,0.00550571809503465,-0.2013,-0.0347,0.4041,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,casthma,Asthma,0.4018,0.0526,2.151500227620396e-14,0.2988,0.5049,0.5643,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,obesity,Obesity,0.6032,0.0402,5.74187805561376e-51,0.5245,0.6819,0.7529,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,chd,Coronary heart disease,0.5185,0.0304,3.947828592244249e-65,0.4589,0.5781,0.7522,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,copd,COPD,0.7723,0.033,1.9916371192775384e-121,0.7077,0.8369,0.8097,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,housinsecu,Housing insecurity,stroke,Stroke,0.817,0.036,2.5810599262681315e-114,0.7465,0.8875,0.823,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,diabetes,Diabetes,0.7763,0.0259,8.960442058874911e-197,0.7255,0.8271,0.8453,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,depression,Depression,0.0008,0.038,0.9825257189888342,-0.0737,0.0753,0.4019,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,casthma,Asthma,0.337,0.036,7.041685218873701e-21,0.2666,0.4075,0.5666,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,obesity,Obesity,0.5179,0.0248,7.707299691532563e-97,0.4693,0.5665,0.7601,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,chd,Coronary heart disease,0.568,0.0231,1.6595406018043908e-133,0.5228,0.6133,0.7741,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,copd,COPD,0.7512,0.0251,2.92691076863048e-197,0.7021,0.8004,0.8378,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,shututility,Utility shutoff threat,stroke,Stroke,0.7862,0.029,1.2476914892152628e-161,0.7293,0.8431,0.8455,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,diabetes,Diabetes,0.6093,0.0304,4.103800307157321e-89,0.5496,0.6689,0.8153,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,depression,Depression,0.1239,0.0296,2.8227961404367564e-05,0.0659,0.182,0.4055,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,casthma,Asthma,0.4272,0.0474,1.9316690264489402e-19,0.3343,0.5201,0.5783,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,obesity,Obesity,0.4323,0.0262,5.597142190624001e-61,0.3808,0.4837,0.742,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,chd,Coronary heart disease,0.4343,0.0259,5.814098851731717e-63,0.3834,0.4851,0.753,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,copd,COPD,0.6504,0.026,3.476114330465376e-138,0.5995,0.7014,0.8121,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,lacktrpt,Transportation barriers,stroke,Stroke,0.6493,0.0309,4.110692571702632e-98,0.5888,0.7098,0.8196,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,diabetes,Diabetes,0.3047,0.0353,6.391150520870932e-18,0.2355,0.374,0.7837,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,depression,Depression,-0.4194,0.0909,3.976210962808894e-06,-0.5976,-0.2412,0.4383,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,casthma,Asthma,-0.4819,0.0665,4.261138329383072e-13,-0.6123,-0.3516,0.5826,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,obesity,Obesity,0.0626,0.0483,0.19502817607775547,-0.0321,0.1573,0.7092,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,chd,Coronary heart disease,-0.0043,0.0269,0.8734776854683606,-0.057,0.0484,0.7276,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,copd,COPD,0.1711,0.0305,2.0328235567807415e-08,0.1113,0.2309,0.7562,11358
medicaid_expanded,Medicaid Expansion,0,Non-expanded,emotionspt,Lack of social support,stroke,Stroke,0.1667,0.0304,4.171387494830628e-08,0.1071,0.2263,0.7768,11358
