hrsn_measure,hrsn_label,outcome,outcome_label,moderator,moderator_label,main_beta,main_p,interaction_beta,interaction_se,interaction_p,interaction_significant,r_squared,n_obs,interaction_p_fdr
foodinsecu,Food insecurity,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.3594,1.6159522693311514e-07,-0.025,0.0417,0.5482854173734767,False,0.5638,60156,0.6152515752206189
foodinsecu,Food insecurity,casthma,Asthma,urban,Urban,0.3771,2.8898278596436515e-09,-0.0517,0.016,0.001256134293816627,True,0.5627,60156,0.0030113067095202213
foodinsecu,Food insecurity,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.2456,1.767340323117623e-05,-0.0077,0.0309,0.8041589267930298,False,0.6813,60156,0.8266528827872405
foodinsecu,Food insecurity,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.1664,0.027042015049030216,0.1408,0.0419,0.0007826282711280868,True,0.6961,60156,0.002054399211711228
foodinsecu,Food insecurity,obesity,Obesity,urban,Urban,0.2505,4.956948175695104e-05,-0.0561,0.0208,0.006905200420156277,True,0.6767,60156,0.013534192823506304
foodinsecu,Food insecurity,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.5307,1.97952800148634e-74,-0.0675,0.0213,0.0015673836577264819,True,0.7754,60156,0.0035446984259352747
foodinsecu,Food insecurity,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.4619,1.668669849016745e-40,0.0183,0.0266,0.4923003233126527,False,0.7736,60156,0.5789451802156796
foodinsecu,Food insecurity,chd,Coronary heart disease,urban,Urban,0.5083,1.613420466332403e-52,-0.0733,0.0143,3.1520798674707954e-07,True,0.7747,60156,2.1061624569009407e-06
foodinsecu,Food insecurity,copd,COPD,medicaid_expanded,Medicaid Expansion,0.6745,3.227301094942089e-67,-0.0627,0.025,0.012154086518796828,True,0.815,60156,0.021019420214860397
foodinsecu,Food insecurity,copd,COPD,hrsn_waiver,HRSN Waiver,0.628,1.1545476120660293e-41,-0.0441,0.0314,0.16032703489573963,False,0.8146,60156,0.2266160974007089
foodinsecu,Food insecurity,copd,COPD,urban,Urban,0.6692,2.7639671424374e-58,-0.0859,0.0134,1.488239994846577e-10,True,0.8158,60156,1.823093993687057e-09
foodinsecu,Food insecurity,stroke,Stroke,medicaid_expanded,Medicaid Expansion,0.7603,3.3945981525707925e-185,-0.1122,0.0222,4.4388456034315396e-07,True,0.8366,60156,2.7187929321018183e-06
foodinsecu,Food insecurity,stroke,Stroke,hrsn_waiver,HRSN Waiver,0.667,7.431128880282143e-118,-0.0102,0.0239,0.6688573497621944,False,0.835,60156,0.7124784812684244
foodinsecu,Food insecurity,stroke,Stroke,urban,Urban,0.7331,1.4590124941434464e-145,-0.1225,0.0127,4.813801519738145e-22,True,0.8369,60156,3.5381441170075363e-20
housinsecu,Housing insecurity,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.7276,1.4823054129484122e-142,-0.1405,0.0302,3.2829735520301615e-06,True,0.7887,60156,1.4624154913588902e-05
housinsecu,Housing insecurity,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.5603,1.0265062058605496e-91,0.0263,0.0249,0.29176100189640697,False,0.7823,60156,0.3697316144721709
housinsecu,Housing insecurity,diabetes,Diabetes,urban,Urban,0.6369,3.16895077428291e-111,-0.1097,0.0177,5.159423148444512e-10,True,0.7843,60156,5.056234685475622e-09
housinsecu,Housing insecurity,depression,Depression,medicaid_expanded,Medicaid Expansion,-0.1918,0.011258014476021767,0.152,0.0373,4.513446911671785e-05,True,0.4111,60156,0.0001579706419085125
housinsecu,Housing insecurity,depression,Depression,hrsn_waiver,HRSN Waiver,-0.036,0.6461423788381692,0.1224,0.0425,0.003945022037892517,True,0.4253,60156,0.008167862529157747
housinsecu,Housing insecurity,depression,Depression,urban,Urban,-0.038,0.6260542874025069,-0.0026,0.0212,0.9006212683671172,False,0.4071,60156,0.9130436306894223
housinsecu,Housing insecurity,casthma,Asthma,medicaid_expanded,Medicaid Expansion,0.3538,4.953485619714207e-07,0.1289,0.0406,0.0015088069010941194,True,0.6052,60156,0.003520549435886279
housinsecu,Housing insecurity,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.5606,3.689514397545133e-16,-0.0224,0.0421,0.5951333427450063,False,0.581,60156,0.6577789577707964
housinsecu,Housing insecurity,casthma,Asthma,urban,Urban,0.573,1.1437001310839698e-18,-0.0451,0.0163,0.0058127779614421905,True,0.5793,60156,0.011705183018246603
housinsecu,Housing insecurity,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.2667,9.33836268261454e-07,-0.0208,0.0327,0.5252932058138888,False,0.6808,60156,0.603266416051888
housinsecu,Housing insecurity,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.148,0.038051931148041174,0.1535,0.0448,0.0006129458757002789,True,0.6954,60156,0.0017667263476066864
housinsecu,Housing insecurity,obesity,Obesity,urban,Urban,0.2382,7.246028824847097e-05,-0.0519,0.0205,0.011190724315881816,True,0.6754,60156,0.020309092276970704
housinsecu,Housing insecurity,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.4099,2.075476895709662e-46,-0.0797,0.0239,0.0008612602260344058,True,0.7603,60156,0.0021828491935699597
housinsecu,Housing insecurity,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.3155,2.336493353902739e-23,0.0228,0.0263,0.38547360041680445,False,0.7582,60156,0.4722051605105854
housinsecu,Housing insecurity,chd,Coronary heart disease,urban,Urban,0.3643,6.520794308446498e-27,-0.0756,0.0152,6.794514204646809e-07,True,0.7594,60156,3.841513800319542e-06
housinsecu,Housing insecurity,copd,COPD,medicaid_expanded,Medicaid Expansion,0.6142,1.842150644510574e-74,-0.0831,0.0277,0.0027274976147174832,True,0.7986,60156,0.005896208078874559
housinsecu,Housing insecurity,copd,COPD,hrsn_waiver,HRSN Waiver,0.5355,4.641820192627332e-42,-0.0361,0.0309,0.24343732009069607,False,0.7975,60156,0.3195114826190386
housinsecu,Housing insecurity,copd,COPD,urban,Urban,0.5813,3.265483133655555e-57,-0.0883,0.014,3.169448896351517e-10,True,0.799,60156,3.327921341169093e-09
housinsecu,Housing insecurity,stroke,Stroke,medicaid_expanded,Medicaid Expansion,0.672,7.840485612375342e-100,-0.1319,0.0274,1.45305632285966e-06,True,0.8149,60156,7.1199759820123336e-06
housinsecu,Housing insecurity,stroke,Stroke,hrsn_waiver,HRSN Waiver,0.5423,6.239428454146321e-72,0.0004,0.0246,0.9881270270245034,False,0.8124,60156,0.9881270270245034
housinsecu,Housing insecurity,stroke,Stroke,urban,Urban,0.6134,3.670107900321787e-83,-0.1277,0.0146,1.7848044501626616e-18,True,0.8147,60156,8.745541805797042e-17
shututility,Utility shutoff threat,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.7656,1.4856531139748612e-167,-0.134,0.0237,1.4554796205831289e-08,True,0.814,60156,1.2585617895630586e-07
shututility,Utility shutoff threat,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.6089,1.7034731634821248e-148,0.0237,0.024,0.3233947761581487,False,0.8053,60156,0.4063165136345971
shututility,Utility shutoff threat,diabetes,Diabetes,urban,Urban,0.6429,6.389522277453433e-124,-0.0624,0.0151,3.532458063739093e-05,True,0.8061,60156,0.00012981783384241166
shututility,Utility shutoff threat,depression,Depression,medicaid_expanded,Medicaid Expansion,0.213,2.2732468652571356e-08,0.1724,0.0328,1.4073027119118772e-07,True,0.4322,60156,1.088807887637084e-06
shututility,Utility shutoff threat,depression,Depression,hrsn_waiver,HRSN Waiver,0.4051,5.0797283709032295e-34,0.0879,0.0468,0.06027173253635744,False,0.45,60156,0.09425473066855897
shututility,Utility shutoff threat,depression,Depression,urban,Urban,0.3408,2.7992435060271634e-22,0.0559,0.021,0.007874404459308685,True,0.4283,60156,0.0148575487138597
shututility,Utility shutoff threat,casthma,Asthma,medicaid_expanded,Medicaid Expansion,0.4923,3.8479395572830026e-41,0.1582,0.0337,2.6330303695195166e-06,True,0.6435,60156,1.248566013933448e-05
shututility,Utility shutoff threat,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.7027,4.916383360042171e-91,0.0995,0.0488,0.041337892219216174,False,0.6272,60156,0.06605076256766063
shututility,Utility shutoff threat,casthma,Asthma,urban,Urban,0.6741,1.614377557847658e-88,0.0426,0.0163,0.008810627319294394,True,0.6219,60156,0.016394458429573114
shututility,Utility shutoff threat,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.5636,1.395906378862055e-48,0.0114,0.0272,0.6754128184184809,False,0.7233,60156,0.7142854986152279
shututility,Utility shutoff threat,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.4614,5.326552064656015e-54,0.2251,0.0308,2.8893563315323236e-13,True,0.7312,60156,8.49470761470503e-12
shututility,Utility shutoff threat,obesity,Obesity,urban,Urban,0.512,6.6392743595929275e-40,0.0235,0.0221,0.2885172750739764,False,0.7124,60156,0.3688003429206481
shututility,Utility shutoff threat,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.603,1.346710557338198e-201,-0.0736,0.0192,0.00012751646925592258,True,0.7915,60156,0.00041655379956934705
shututility,Utility shutoff threat,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.5081,3.378822142607607e-208,0.0816,0.0156,1.8312836150930972e-07,True,0.7888,60156,1.281898530565168e-06
shututility,Utility shutoff threat,chd,Coronary heart disease,urban,Urban,0.5218,1.702668836517019e-138,-0.0222,0.0115,0.05352531210555938,False,0.7876,60156,0.08460452558620675
shututility,Utility shutoff threat,copd,COPD,medicaid_expanded,Medicaid Expansion,0.801,5.780524855430731e-304,-0.0659,0.0204,0.001270074938709209,True,0.8505,60156,0.0030113067095202213
shututility,Utility shutoff threat,copd,COPD,hrsn_waiver,HRSN Waiver,0.7232,0.0,0.0342,0.0165,0.03829369465546825,False,0.8483,60156,0.06254636793726481
shututility,Utility shutoff threat,copd,COPD,urban,Urban,0.7286,0.0,-0.0136,0.0103,0.1843089682800031,False,0.8479,60156,0.25320951716972384
shututility,Utility shutoff threat,stroke,Stroke,medicaid_expanded,Medicaid Expansion,0.7563,3.593442155604412e-225,-0.1311,0.0198,3.615974294311044e-11,True,0.8448,60156,5.315482212637234e-10
shututility,Utility shutoff threat,stroke,Stroke,hrsn_waiver,HRSN Waiver,0.6269,0.0,0.0435,0.0168,0.009762338715810684,True,0.8423,60156,0.01793829739030213
shututility,Utility shutoff threat,stroke,Stroke,urban,Urban,0.654,3.361609698003185e-305,-0.0758,0.011,5.4137383624384895e-12,True,0.8409,60156,9.947744240980725e-11
lacktrpt,Transportation barriers,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.5889,2.166657546423225e-108,-0.0816,0.0241,0.0007245759453340441,True,0.7852,60156,0.001936593890256445
lacktrpt,Transportation barriers,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.5129,1.1303707586044956e-205,-0.0133,0.0202,0.5082095113027482,False,0.7823,60156,0.5929110965198728
lacktrpt,Transportation barriers,diabetes,Diabetes,urban,Urban,0.5708,1.3896361850406088e-197,-0.1115,0.0149,6.5265054887985e-14,True,0.7837,60156,2.398490767133449e-12
lacktrpt,Transportation barriers,depression,Depression,medicaid_expanded,Medicaid Expansion,0.1051,0.01198046348991719,0.1531,0.0335,5.006857417556552e-06,True,0.4181,60156,2.1647295305318032e-05
lacktrpt,Transportation barriers,depression,Depression,hrsn_waiver,HRSN Waiver,0.2136,1.8148286802147394e-07,0.0481,0.0373,0.1977246380520541,False,0.4298,60156,0.2666561632445133
