tract_fips,state_abbr,county_name,total_population,predicted_gain,loneliness,foodstamp,foodinsecu,housinsecu,shututility,lacktrpt,emotionspt,rank
32003004712,NV,Clark,5084.0,6661.722941335962,43.2,50.2,47.3,37.0,27.4,26.0,34.4,215
06037600202,CA,Los Angeles,7625.0,6659.689156848551,46.0,45.3,43.4,34.5,18.3,21.0,37.9,216
34031175200,NJ,Passaic,5719.0,6645.508620525931,42.2,37.2,52.8,39.9,22.7,23.0,32.4,217
36061022400,NY,New York,7517.0,6638.171431907201,45.9,41.7,41.9,33.5,21.0,20.2,37.0,218
06039000802,CA,Madera,4311.0,6637.203191324119,41.5,59.5,57.2,41.6,26.0,29.4,34.3,219
36005005001,NY,Bronx,4565.0,6623.531149454908,42.6,53.8,55.8,44.3,27.5,25.9,36.5,220
22073000600,LA,Ouachita,3902.0,6619.312322822344,44.0,60.3,58.0,41.5,36.5,29.8,40.2,221
04013112700,AZ,Maricopa,7787.0,6618.634334159463,38.4,34.8,44.9,30.5,16.7,21.0,33.7,222
06037240401,CA,Los Angeles,6409.0,6617.152285964226,47.7,49.6,49.6,38.5,19.6,23.8,39.4,223
24005490605,MD,Baltimore,5069.0,6616.282786115098,50.9,49.9,50.6,32.2,24.4,32.3,30.6,224
09170141301,CT,South Central Connecticut,7807.0,6606.392993683771,42.9,34.8,35.4,27.4,21.4,21.0,30.8,225
34007600800,NJ,Camden,5211.0,6606.266191324164,38.8,42.7,51.2,38.1,24.5,24.0,31.7,226
06107000600,CA,Tulare,6325.0,6598.893637058364,39.5,44.4,45.8,34.8,19.0,22.3,32.6,227
35045943201,NM,San Juan,5504.0,6590.7474817306675,40.7,43.7,44.7,30.8,26.6,25.6,33.1,228
39009973901,OH,Athens,5360.0,6588.815856190739,49.7,48.1,45.2,26.7,24.3,30.0,25.5,229
36085004003,NY,Richmond,3215.0,6578.893318230377,42.7,71.0,63.7,48.9,39.1,34.3,38.9,230
36005016100,NY,Bronx,4490.0,6576.022055627703,42.6,54.8,55.9,43.7,27.7,26.3,36.5,231
39035109701,OH,Cuyahoga,2744.0,6563.497871297214,48.9,75.9,67.0,49.4,46.5,38.0,29.5,232
06053000702,CA,Monterey,6541.0,6561.44458808345,42.1,42.5,47.0,37.0,18.6,22.6,35.1,233
36005038100,NY,Bronx,7644.0,6551.633064381535,40.8,36.2,42.5,35.3,19.0,18.3,34.9,234
06019007802,CA,Fresno,4489.0,6546.580183028419,41.9,56.2,56.5,41.9,24.9,27.8,34.3,235
36005002001,NY,Bronx,4461.0,6544.922518796519,44.6,56.3,57.9,44.4,27.4,26.9,37.9,236
06073020202,CA,San Diego,6735.0,6534.241593343491,42.3,45.8,45.0,35.0,18.3,22.1,35.7,237
