outcome,model,fold,cv_strategy,n_train,n_test,rmse,mae,r2_oos,r2_insample
chd,Covariates Only,8,State-Blocked (LOSO),57349,2779,0.5317582115372304,0.40257339088689253,0.7252544734611827,0.7502802367015329
chd,Covariates Only,9,State-Blocked (LOSO),59712,416,0.6066801105396713,0.49730714850183383,0.46987405289458506,0.7504927541617047
chd,Covariates Only,10,State-Blocked (LOSO),59676,452,0.4734282442217674,0.3532073216387416,0.6790862855481072,0.7496555728107792
chd,Covariates Only,11,State-Blocked (LOSO),56872,3256,0.4614331895249589,0.3408288929027554,0.7427837140167948,0.7486230353809213
chd,Covariates Only,12,State-Blocked (LOSO),58447,1681,0.4766340196235715,0.3451957678975447,0.6726453067863192,0.7501291706364409
chd,Covariates Only,13,State-Blocked (LOSO),59236,892,0.4053985478057051,0.2955039733187852,0.7204989486787483,0.7493614484011435
chd,Covariates Only,14,State-Blocked (LOSO),59313,815,0.4822188610952438,0.3642511927402214,0.6619997284408727,0.7500490493171718
chd,Covariates Only,15,State-Blocked (LOSO),58766,1362,0.6482318623385236,0.4903786319147118,0.6297461075523165,0.7497967568008954
chd,Covariates Only,16,State-Blocked (LOSO),59728,400,0.4854448827787615,0.3706817490743833,0.6859354306976198,0.7488495679934268
chd,Covariates Only,17,State-Blocked (LOSO),58673,1455,0.440959043554739,0.3369940926604241,0.7339555854434274,0.7489068911323343
chd,Covariates Only,18,State-Blocked (LOSO),58541,1587,0.4263459864627922,0.3161274351168584,0.7313629949172978,0.7488595076409013
chd,Covariates Only,19,State-Blocked (LOSO),57247,2881,0.49695869845222235,0.3577320728749483,0.7168700116690094,0.7490079859395492
chd,Covariates Only,20,State-Blocked (LOSO),58631,1497,0.4071555008331977,0.30640751338623806,0.7650660305861168,0.7487252379461045
chd,Covariates Only,21,State-Blocked (LOSO),59259,869,0.6354008276561784,0.4758646757417324,0.5780890528293412,0.7498550041397855
chd,Covariates Only,22,State-Blocked (LOSO),58482,1646,0.5103523490783579,0.3748864226726481,0.7412072112398136,0.7487642219792661
chd,Covariates Only,23,State-Blocked (LOSO),59813,315,0.46150281126907927,0.35605436520186073,0.732061355406536,0.7492695887926366
chd,Covariates Only,24,State-Blocked (LOSO),59581,547,0.40373337933967846,0.3030007230889827,0.768142107459537,0.7491540536819874
chd,Covariates Only,25,State-Blocked (LOSO),59360,768,0.4719128740091754,0.3680658323549313,0.7686742547907579,0.7490410039838584
chd,Covariates Only,26,State-Blocked (LOSO),59781,347,0.42719629625252936,0.33563474885857864,0.5620538423975627,0.7496895245109472
chd,Covariates Only,27,State-Blocked (LOSO),57968,2160,0.4277217621837057,0.3304785608211086,0.6978794357453573,0.7483447909587403
chd,Covariates Only,28,State-Blocked (LOSO),59531,597,0.7086093951988415,0.5381975878731374,0.47589567051235704,0.7512673350628905
chd,Covariates Only,29,State-Blocked (LOSO),54903,5225,0.4958910521661183,0.3748826402333045,0.6266334962658457,0.7549933893976852
chd,Covariates Only,30,State-Blocked (LOSO),57490,2638,0.532226248124925,0.39252486781996143,0.7518849408564517,0.7486823766690851
chd,Covariates Only,31,State-Blocked (LOSO),59900,228,0.484742662279384,0.37522858110318447,0.7348616134162596,0.7493328145413074
chd,Covariates Only,32,State-Blocked (LOSO),56979,3149,0.5543634841639375,0.39540107658997964,0.6653481230290327,0.7502274335823349
chd,Covariates Only,33,State-Blocked (LOSO),58938,1190,0.6692252995709922,0.532841896866109,0.5342949518669746,0.7514196195375327
chd,Covariates Only,34,State-Blocked (LOSO),59882,246,0.42539451437145775,0.31130267758724867,0.5295457004536809,0.7496242419760601
chd,Covariates Only,35,State-Blocked (LOSO),58827,1301,0.5251003230526344,0.39755887103662696,0.7060436738294292,0.7494557931522993
chd,Covariates Only,36,State-Blocked (LOSO),59424,704,0.5316314168112192,0.4052831489965678,0.4238934289363373,0.7488483406277773
chd,Covariates Only,37,State-Blocked (LOSO),57971,2157,0.4953708380560767,0.37064625022093756,0.7933173250680295,0.747141773262199
chd,Covariates Only,38,State-Blocked (LOSO),59583,545,0.7166553974087035,0.5548672809453395,0.44821669669982056,0.7483044004609845
chd,Covariates Only,39,State-Blocked (LOSO),58605,1523,0.4375612630977485,0.30889518458352433,0.707577503967936,0.7498787399366443
copd,HRSN + Covariates,0,State-Blocked (LOSO),58701,1427,0.34300633483833465,0.2561810564565431,0.8915240253489649,0.8930268732295029
copd,HRSN + Covariates,1,State-Blocked (LOSO),59955,173,0.2542491224097555,0.1926472448052843,0.8789240678047605,0.8940976868722219
copd,HRSN + Covariates,2,State-Blocked (LOSO),58398,1730,0.36672662428090813,0.2491380343644285,0.8718378805124107,0.8946510225980383
copd,HRSN + Covariates,3,State-Blocked (LOSO),59309,819,0.49162043656052384,0.39414929390737913,0.758984383557293,0.8947003188216808
copd,HRSN + Covariates,4,State-Blocked (LOSO),51108,9020,0.2968956175340541,0.2356914105889147,0.783256193878625,0.8901623086872261
copd,HRSN + Covariates,5,State-Blocked (LOSO),59256,872,0.32982886340553336,0.2519357260285544,0.6649353442398689,0.8948250741117729
copd,HRSN + Covariates,6,State-Blocked (LOSO),59872,256,0.27259453540664413,0.2102509277157255,0.8413023392249521,0.894182694988676
copd,HRSN + Covariates,7,State-Blocked (LOSO),59925,203,0.35349921565703524,0.24110455319058552,0.840242280060058,0.8939046633739938
copd,HRSN + Covariates,8,State-Blocked (LOSO),57349,2779,0.29538069963287633,0.22255893023097423,0.9129025511242039,0.8930986389208886
copd,HRSN + Covariates,9,State-Blocked (LOSO),59712,416,0.9150724192550579,0.8414078931275911,-0.98227337767733,0.8985222203361518
copd,HRSN + Covariates,10,State-Blocked (LOSO),59676,452,0.2892863366170526,0.2196499947366825,0.8088930694017737,0.89435809410168
copd,HRSN + Covariates,11,State-Blocked (LOSO),56872,3256,0.2836217220306278,0.20491933710664473,0.904012273131604,0.893431181861616
copd,HRSN + Covariates,12,State-Blocked (LOSO),58447,1681,0.3789742012522505,0.2839608922858666,0.8362439463881741,0.89414673288816
copd,HRSN + Covariates,13,State-Blocked (LOSO),59236,892,0.2729700380380516,0.21477316236469762,0.830658131375908,0.8944455995714178
copd,HRSN + Covariates,14,State-Blocked (LOSO),59313,815,0.2642500181418291,0.19947555923820162,0.8791481217052454,0.894178361913895
copd,HRSN + Covariates,15,State-Blocked (LOSO),58766,1362,0.36119382096904623,0.27234389543706844,0.9026012702282173,0.8922316735994216
copd,HRSN + Covariates,16,State-Blocked (LOSO),59728,400,0.4559637892752151,0.3713825401448306,0.7075831332781382,0.8945745334033492
copd,HRSN + Covariates,17,State-Blocked (LOSO),58673,1455,0.25599444475966704,0.19511539832898647,0.9096828478369484,0.8935725220601146
copd,HRSN + Covariates,18,State-Blocked (LOSO),58541,1587,0.256553435191341,0.1886195395937823,0.8860553355696182,0.8938855843404642
copd,HRSN + Covariates,19,State-Blocked (LOSO),57247,2881,0.336208681357555,0.23795555174695485,0.8941159748631876,0.8918442787875009
copd,HRSN + Covariates,20,State-Blocked (LOSO),58631,1497,0.3522535337864817,0.3003603355298488,0.662392114131646,0.8953948283562987
copd,HRSN + Covariates,21,State-Blocked (LOSO),59259,869,0.7846577485574328,0.6896733578117622,0.4123277604704537,0.8991931337937837
copd,HRSN + Covariates,22,State-Blocked (LOSO),58482,1646,0.45195991338580743,0.33629610457397713,0.8106061414341965,0.8952737207707258
copd,HRSN + Covariates,23,State-Blocked (LOSO),59813,315,0.2739499562160074,0.2025024509912352,0.870918750278081,0.8941191096064132
copd,HRSN + Covariates,24,State-Blocked (LOSO),59581,547,0.4227404852645048,0.3757600465458792,0.5871329539572371,0.8952196865059433
copd,HRSN + Covariates,25,State-Blocked (LOSO),59360,768,0.3542038613061246,0.2732062351112951,0.8084560750390697,0.8947281145588455
copd,HRSN + Covariates,26,State-Blocked (LOSO),59781,347,0.23689287247865556,0.18831680233253126,0.8263129081039897,0.8941886314340634
copd,HRSN + Covariates,27,State-Blocked (LOSO),57968,2160,0.2453914687697199,0.19222120344224514,0.8491992765714373,0.8932053855853899
copd,HRSN + Covariates,28,State-Blocked (LOSO),59531,597,0.49519556566047723,0.41703927310570776,0.7115521271425506,0.8954512728307786
copd,HRSN + Covariates,29,State-Blocked (LOSO),54903,5225,0.2756239502385768,0.21069831629378602,0.8811557298410144,0.8938907926463315
copd,HRSN + Covariates,30,State-Blocked (LOSO),57490,2638,0.30758332737036853,0.22454493240348009,0.9047179874852713,0.8932427624674067
copd,HRSN + Covariates,31,State-Blocked (LOSO),59900,228,0.33134209878996934,0.2834641854282481,0.7385572756443259,0.8943121194303751
copd,HRSN + Covariates,32,State-Blocked (LOSO),56979,3149,0.34145326487159033,0.2453680134803093,0.8977111317011646,0.891290810091439
copd,HRSN + Covariates,33,State-Blocked (LOSO),58938,1190,0.2921218384679386,0.22144270558540607,0.9075413248007951,0.8930371332686939
copd,HRSN + Covariates,34,State-Blocked (LOSO),59882,246,0.2604472987635249,0.20255471188364924,0.7914017205179867,0.8942128537414389
copd,HRSN + Covariates,35,State-Blocked (LOSO),58827,1301,0.31784164058706715,0.2406119304749729,0.8922875940082912,0.8935921631805069
copd,HRSN + Covariates,36,State-Blocked (LOSO),59424,704,0.571258105290989,0.5289480063187258,-0.41830219434712124,0.8965531830757705
copd,HRSN + Covariates,37,State-Blocked (LOSO),57971,2157,0.26627219940650526,0.193175485789455,0.9290123747584631,0.8926773851457691
copd,HRSN + Covariates,38,State-Blocked (LOSO),59583,545,0.39495404816681534,0.29487040676492426,0.8740626322591634,0.8919989035888344
copd,HRSN + Covariates,39,State-Blocked (LOSO),58605,1523,0.4227458228865519,0.36049986519336513,0.6271719185650076,0.8967282458175834
copd,SVI + Covariates,0,State-Blocked (LOSO),58701,1427,0.545783030930364,0.39118061445964414,0.7253564926213047,0.7874547142321078
copd,SVI + Covariates,1,State-Blocked (LOSO),59955,173,0.38171350006164023,0.30736685626263927,0.7270934644743424,0.7880753519837675
copd,SVI + Covariates,2,State-Blocked (LOSO),58398,1730,0.5005024147899442,0.34901285853862896,0.7612809080993819,0.7887374174047384
copd,SVI + Covariates,3,State-Blocked (LOSO),59309,819,0.5571620687312195,0.41456800339582095,0.6904374528005478,0.7871319479614656
copd,SVI + Covariates,4,State-Blocked (LOSO),51108,9020,0.3820429235635945,0.2932182585300269,0.6411082781416917,0.7794668204499179
copd,SVI + Covariates,5,State-Blocked (LOSO),59256,872,0.40080148297476953,0.3040797869625832,0.5052224999495529,0.7887054303885073
copd,SVI + Covariates,6,State-Blocked (LOSO),59872,256,0.34124535000341527,0.2490344012889545,0.751303474052756,0.7880602806636127
copd,SVI + Covariates,7,State-Blocked (LOSO),59925,203,0.4945361872260029,0.39956899974829396,0.6873336837004826,0.7876234835943635
copd,SVI + Covariates,8,State-Blocked (LOSO),57349,2779,0.4939097795302579,0.37606407395101693,0.7564789791740008,0.7893644522670665
copd,SVI + Covariates,9,State-Blocked (LOSO),59712,416,0.5044075456384507,0.40091545305077825,0.3976959735986997,0.788460240735415
