hrsn_measure,disease,treatment_threshold_pct,hrsn_threshold_value,hrsn_target_value,n_tracts_treated,pop_treated,beta,mean_hrsn_reduction_pp,mean_disease_reduction_pp,est_associated_case_reduction,est_case_reduction_adjusted
emotionspt,depression,90,32.5,24.0,5921,21595824,-0.3442,11.1,-3.83,-820979,-410489
emotionspt,casthma,90,32.5,24.0,5921,21595824,-0.0595,11.1,-0.66,-141811,-70905
emotionspt,obesity,90,32.5,24.0,5921,21595824,-0.7073,11.1,-7.87,-1686924,-843462
emotionspt,chd,90,32.5,24.0,5921,21595824,-0.0543,11.1,-0.6,-129613,-64806
emotionspt,copd,90,32.5,24.0,5921,21595824,-0.0614,11.1,-0.68,-146498,-73249
emotionspt,stroke,90,32.5,24.0,5921,21595824,0.0047,11.1,0.05,11272,5636
emotionspt,diabetes,75,28.1,24.0,14988,57555487,0.0527,8.2,0.43,243162,121581
emotionspt,depression,75,28.1,24.0,14988,57555487,-0.3442,8.2,-2.81,-1588239,-794119
emotionspt,casthma,75,28.1,24.0,14988,57555487,-0.0595,8.2,-0.48,-274343,-137171
emotionspt,obesity,75,28.1,24.0,14988,57555487,-0.7073,8.2,-5.77,-3263467,-1631733
emotionspt,chd,75,28.1,24.0,14988,57555487,-0.0543,8.2,-0.44,-250745,-125372
emotionspt,copd,75,28.1,24.0,14988,57555487,-0.0614,8.2,-0.5,-283411,-141705
emotionspt,stroke,75,28.1,24.0,14988,57555487,0.0047,8.2,0.04,21806,10903
