state_fips,state_abbr,hrsn_measure,outcome,beta,se,pvalue,r_squared,n_tracts,medicaid_expanded,hrsn_waiver
16,ID,shututility,casthma,0.9368,0.0762,9.230059080201347e-35,0.7955,452,1,0
17,IL,shututility,casthma,0.3945,0.0475,9.216041718529124e-17,0.9023,3256,1,0
18,IN,shututility,casthma,0.453,0.039,3.8100464325224904e-31,0.8608,1681,1,0
19,IA,shututility,casthma,0.5155,0.1505,0.000615298429648802,0.6835,893,1,0
20,KS,shututility,casthma,0.4028,0.0436,2.3143736675053834e-20,0.7651,815,0,0
22,LA,shututility,casthma,0.4444,0.0182,1.455274782714318e-131,0.9123,1362,1,0
23,ME,shututility,casthma,0.7032,0.0973,4.807349864453377e-13,0.7954,400,1,0
24,MD,shututility,casthma,0.5309,0.0334,8.352708403350617e-57,0.9126,1455,1,0
25,MA,shututility,casthma,0.7905,0.0631,5.043879511900903e-36,0.7413,1588,1,1
26,MI,shututility,casthma,0.3983,0.0212,7.053759425831862e-79,0.9111,2882,1,0
27,MN,shututility,casthma,0.6664,0.063,3.593619104637933e-26,0.7676,1497,1,0
28,MS,shututility,casthma,0.4552,0.0272,4.479718484110425e-63,0.9143,869,0,0
29,MO,shututility,casthma,0.4676,0.0271,6.675446580873844e-67,0.8856,1646,1,0
30,MT,shututility,casthma,1.1078,0.0522,4.5166056705827166e-100,0.8563,315,1,0
31,NE,shututility,casthma,0.434,0.0593,2.4564380230610546e-13,0.7879,547,1,0
32,NV,shututility,casthma,0.4705,0.0487,4.310036394013138e-22,0.6164,768,1,0
33,NH,shututility,casthma,0.6511,0.0987,4.276182861917289e-11,0.7167,347,1,0
34,NJ,shututility,casthma,0.4647,0.0371,6.557010266494071e-36,0.7943,2161,1,0
35,NM,shututility,casthma,0.7371,0.0282,2.8569229095244827e-150,0.9184,597,1,0
36,NY,shututility,casthma,0.6273,0.032,1.6011882449590233e-85,0.66,5234,1,0
37,NC,shututility,casthma,0.6395,0.0354,6.710343080830856e-73,0.8776,2638,0,1
38,ND,shututility,casthma,1.2364,0.1282,5.07769422979189e-22,0.9199,228,1,0
39,OH,shututility,casthma,0.3682,0.0384,9.474753772135408e-22,0.9097,3150,1,0
40,OK,shututility,casthma,0.6492,0.0349,4.445988580795298e-77,0.8174,1190,1,0
44,RI,shututility,casthma,0.7914,0.1243,1.8998419831045653e-10,0.7078,246,1,0
45,SC,shututility,casthma,0.4348,0.048,1.2150468607250483e-19,0.8514,1304,0,0
49,UT,shututility,casthma,0.7992,0.1089,2.112680766886038e-13,0.5636,704,1,0
51,VA,shututility,casthma,0.5094,0.0286,4.097106823688886e-71,0.8912,2157,1,0
54,WV,shututility,casthma,0.6689,0.0383,3.580967615356148e-68,0.8333,545,1,0
55,WI,shututility,casthma,0.4735,0.0538,1.267357025521661e-18,0.8704,1523,0,0
01,AL,foodinsecu,stroke,1.054,0.0465,7.372332113106576e-114,0.8609,1427,0,0
02,AK,foodinsecu,stroke,0.621,0.0591,8.413704331304757e-26,0.8619,174,1,0
04,AZ,foodinsecu,stroke,0.5729,0.0404,1.4129135837573693e-45,0.8508,1731,1,1
05,AR,foodinsecu,stroke,0.9645,0.0531,7.714069184556385e-74,0.8555,819,1,1
06,CA,foodinsecu,stroke,0.4192,0.0164,8.427122831501228e-144,0.7771,9023,1,1
09,CT,foodinsecu,stroke,0.442,0.0783,1.676473185610653e-08,0.788,872,1,0
10,DE,foodinsecu,stroke,0.4637,0.1145,5.104133962870423e-05,0.7568,256,1,0
11,DC,foodinsecu,stroke,0.5418,0.1158,2.9101866987400916e-06,0.9294,205,1,0
13,GA,foodinsecu,stroke,0.8561,0.0355,8.237037319099457e-129,0.8414,2782,0,0
15,HI,foodinsecu,stroke,0.9781,0.0669,2.2660889688057008e-48,0.837,417,1,0
16,ID,foodinsecu,stroke,0.5382,0.0742,4.115989534763054e-13,0.7526,452,1,0
17,IL,foodinsecu,stroke,0.6367,0.0299,7.832479102669156e-101,0.8843,3256,1,0
18,IN,foodinsecu,stroke,0.7924,0.0521,3.063280128655177e-52,0.8263,1681,1,0
19,IA,foodinsecu,stroke,0.5688,0.06,2.4717877544174226e-21,0.794,893,1,0
20,KS,foodinsecu,stroke,0.6943,0.0526,8.581453570896795e-40,0.7809,815,0,0
22,LA,foodinsecu,stroke,0.8806,0.0387,1.6376650654549765e-114,0.8749,1362,1,0
23,ME,foodinsecu,stroke,0.7897,0.1114,1.3756181093192931e-12,0.7996,400,1,0
24,MD,foodinsecu,stroke,0.8065,0.0562,1.1187496101917883e-46,0.8573,1455,1,0
25,MA,foodinsecu,stroke,0.7567,0.0448,7.155291853145198e-64,0.8459,1588,1,1
26,MI,foodinsecu,stroke,0.8469,0.0383,3.078917854590463e-108,0.8717,2882,1,0
27,MN,foodinsecu,stroke,0.6316,0.059,9.88232251687696e-27,0.8168,1497,1,0
28,MS,foodinsecu,stroke,0.9642,0.0553,5.459276729645073e-68,0.8617,869,0,0
29,MO,foodinsecu,stroke,0.9537,0.0553,1.2529748532938925e-66,0.8583,1646,1,0
30,MT,foodinsecu,stroke,0.757,0.0585,2.4303297309362165e-38,0.8412,315,1,0
31,NE,foodinsecu,stroke,0.643,0.0619,2.882880559035953e-25,0.8363,547,1,0
32,NV,foodinsecu,stroke,0.5207,0.0554,5.5467086312797425e-21,0.8143,768,1,0
33,NH,foodinsecu,stroke,0.6691,0.1082,6.325603103111025e-10,0.7765,347,1,0
34,NJ,foodinsecu,stroke,0.4928,0.0294,3.9981205665761743e-63,0.8555,2161,1,0
35,NM,foodinsecu,stroke,0.6267,0.0484,2.2916146533399096e-38,0.7831,597,1,0
36,NY,foodinsecu,stroke,0.4536,0.0273,5.915261657087656e-62,0.7926,5234,1,0
37,NC,foodinsecu,stroke,0.8897,0.0673,6.485716313417814e-40,0.8388,2638,0,1
38,ND,foodinsecu,stroke,0.8808,0.0731,1.8838334084860974e-33,0.8313,228,1,0
39,OH,foodinsecu,stroke,0.9043,0.0445,1.045248581317122e-91,0.8541,3150,1,0
40,OK,foodinsecu,stroke,0.8691,0.05,1.434567758903118e-67,0.8239,1190,1,0
44,RI,foodinsecu,stroke,0.4556,0.0987,3.9470762850154695e-06,0.6721,246,1,0
45,SC,foodinsecu,stroke,0.9105,0.0475,5.2385699480527105e-82,0.8588,1304,0,0
49,UT,foodinsecu,stroke,0.5489,0.1365,5.7711190395101097e-05,0.7089,704,1,0
51,VA,foodinsecu,stroke,0.9947,0.044,3.176477576447789e-113,0.8692,2157,1,0
54,WV,foodinsecu,stroke,1.0241,0.0679,2.444384457706614e-51,0.7687,545,1,0
55,WI,foodinsecu,stroke,0.8005,0.045,8.189498351076014e-71,0.8469,1523,0,0
01,AL,foodstamp,casthma,0.4461,0.0223,2.6451381066188e-89,0.8719,1427,0,0
02,AK,foodstamp,casthma,1.1808,0.1153,1.3230425705029197e-24,0.7631,174,1,0
04,AZ,foodstamp,casthma,0.6157,0.0623,4.7191907235917724e-23,0.7115,1731,1,1
05,AR,foodstamp,casthma,0.5429,0.0307,7.697138903006146e-70,0.8454,819,1,1
06,CA,foodstamp,casthma,0.285,0.0147,2.978710364978758e-83,0.4698,9023,1,1
09,CT,foodstamp,casthma,0.6355,0.0949,2.1691897270349496e-11,0.6527,872,1,0
10,DE,foodstamp,casthma,0.3217,0.1479,0.0296568827822955,0.7182,256,1,0
11,DC,foodstamp,casthma,0.5522,0.0512,3.992294057259599e-27,0.9458,205,1,0
13,GA,foodstamp,casthma,0.3413,0.0293,2.114417207992242e-31,0.8606,2782,0,0
15,HI,foodstamp,casthma,1.1202,0.0993,1.6058486291941677e-29,0.5943,417,1,0
16,ID,foodstamp,casthma,0.8639,0.0824,1.0850297223197332e-25,0.7779,452,1,0
17,IL,foodstamp,casthma,0.372,0.0325,1.9961136414800223e-30,0.9019,3256,1,0
18,IN,foodstamp,casthma,0.5139,0.0391,2.1785394142359354e-39,0.8639,1681,1,0
19,IA,foodstamp,casthma,0.4982,0.0911,4.473997852355826e-08,0.6954,893,1,0
20,KS,foodstamp,casthma,0.4711,0.0563,5.593780228758216e-17,0.763,815,0,0
22,LA,foodstamp,casthma,0.4678,0.0172,2.8990608994508137e-162,0.9146,1362,1,0
23,ME,foodstamp,casthma,0.6572,0.0675,2.0696877275935177e-22,0.8035,400,1,0
24,MD,foodstamp,casthma,0.4727,0.0283,1.3291116183666011e-62,0.912,1455,1,0
25,MA,foodstamp,casthma,0.6227,0.055,9.365761585844842e-30,0.7322,1588,1,1
26,MI,foodstamp,casthma,0.4251,0.0222,1.82156721647614e-81,0.9149,2882,1,0
27,MN,foodstamp,casthma,0.5363,0.0626,1.0265798322846699e-17,0.7487,1497,1,0
28,MS,foodstamp,casthma,0.4728,0.0267,4.809415725329348e-70,0.9108,869,0,0
29,MO,foodstamp,casthma,0.5342,0.0266,8.363551721320893e-90,0.8914,1646,1,0
30,MT,foodstamp,casthma,1.2701,0.0704,9.511330105301416e-73,0.8302,315,1,0
31,NE,foodstamp,casthma,0.4344,0.05,3.900069941885255e-18,0.792,547,1,0
32,NV,foodstamp,casthma,0.464,0.0425,8.31992926720637e-28,0.6217,768,1,0
33,NH,foodstamp,casthma,0.6401,0.0964,3.1995930155697966e-11,0.7209,347,1,0
34,NJ,foodstamp,casthma,0.423,0.0312,9.092465036842629e-42,0.7887,2161,1,0
35,NM,foodstamp,casthma,0.6792,0.0322,4.61816105089917e-99,0.8957,597,1,0
36,NY,foodstamp,casthma,0.3807,0.0268,7.732228564341477e-46,0.6328,5234,1,0
37,NC,foodstamp,casthma,0.5784,0.0334,2.5574362751125925e-67,0.874,2638,0,1
38,ND,foodstamp,casthma,1.5193,0.174,2.5181333869766548e-18,0.8903,228,1,0
39,OH,foodstamp,casthma,0.3906,0.0288,8.585617286932209e-42,0.9121,3150,1,0
40,OK,foodstamp,casthma,0.6225,0.0338,1.2173662486911164e-75,0.8157,1190,1,0
44,RI,foodstamp,casthma,0.6806,0.1031,4.082570600502193e-11,0.7009,246,1,0
45,SC,foodstamp,casthma,0.4899,0.0355,2.2591345068137793e-43,0.858,1304,0,0
49,UT,foodstamp,casthma,0.9059,0.1514,2.176470548593615e-09,0.5487,704,1,0
51,VA,foodstamp,casthma,0.4722,0.023,8.299981192207726e-94,0.8911,2157,1,0
54,WV,foodstamp,casthma,0.5927,0.033,3.0047204211292456e-72,0.8393,545,1,0
55,WI,foodstamp,casthma,0.4439,0.0402,2.1197530713095626e-28,0.874,1523,0,0
