outcome,outcome_label,feature,feature_label,feature_type,mean_abs_shap,permutation_importance,rf_feature_importance,ols_beta_std,ols_abs_beta,rf_r2_train,rf_r2_test
copd,COPD,pct_65plus,pct_65plus,covariate,0.376112,0.077273,0.084223,,,0.9523,0.9151
copd,COPD,median_age,median_age,covariate,0.177747,0.025647,0.04078,,,0.9523,0.9151
stroke,Stroke,loneliness,Loneliness/Social isolation,hrsn,0.07875,0.019592,0.022996,-0.1328,0.1328,0.9445,0.9091
stroke,Stroke,foodstamp,Food stamps/SNAP,hrsn,0.189612,0.065895,0.102214,0.5395,0.5395,0.9445,0.9091
stroke,Stroke,foodinsecu,Food insecurity,hrsn,0.170251,0.077382,0.080421,0.6595,0.6595,0.9445,0.9091
stroke,Stroke,housinsecu,Housing insecurity,hrsn,0.019747,0.010312,0.028462,0.5357,0.5357,0.9445,0.9091
stroke,Stroke,shututility,Utility shutoff threat,hrsn,0.227392,0.116201,0.149425,0.6169,0.6169,0.9445,0.9091
stroke,Stroke,lacktrpt,Transportation barriers,hrsn,0.087382,0.027205,0.058643,0.5446,0.5446,0.9445,0.9091
stroke,Stroke,emotionspt,Lack of social support,hrsn,0.032631,0.006204,0.013334,0.0191,0.0191,0.9445,0.9091
stroke,Stroke,pct_black,pct_black,covariate,0.060991,0.018061,0.060543,,,0.9445,0.9091
stroke,Stroke,pct_hispanic,pct_hispanic,covariate,0.098696,0.04135,0.045577,,,0.9445,0.9091
stroke,Stroke,pct_poverty,pct_poverty,covariate,0.078439,0.014236,0.057105,,,0.9445,0.9091
stroke,Stroke,pct_college,pct_college,covariate,0.25463,0.117373,0.1629,,,0.9445,0.9091
stroke,Stroke,pct_65plus,pct_65plus,covariate,0.283231,0.17733,0.14258,,,0.9445,0.9091
stroke,Stroke,median_age,median_age,covariate,0.128402,0.056105,0.0758,,,0.9445,0.9091
